,price,amount
0,63960.0,17163604.5
1,64376.0,11876072.1
2,64248.08,7802929.316000001
3,63169.6,5313110.02
4,64002.43200000001,5209428.720000001
5,63816.272000000004,5100392.816000001
6,64168.0,5040828.3
7,63951.784,4883948.5504
8,63300.43200000001,4573273.6146
9,63752.0,4490838.0
10,62868.0,4449966.3
11,62557.04,4438121.233
12,63908.0,4421081.7
13,63752.0,4220872.8
14,64066.39200000001,3324922.5402
15,63262.888,3236565.8479
16,64168.0,3108754.5
17,64060.152,2993518.5837
18,64575.16,2742954.1040000003
19,62868.0,2663850.15
20,64136.8,2646321.37
21,63965.928,2588651.9016
22,63570.0,2345427.375
23,63862.968,2324919.0686999997
24,62557.04,2295362.1599999997
25,62557.04,2264865.603
26,63648.0,2231780.4
27,64490.4,2171962.2600000002
28,63440.0,2116639.0
29,63752.0,2084445.2
30,63232.0,2078022.4
31,62878.192,2060409.5242
32,62660.0,2044764.5000000002
33,63440.0,2006595.0000000002
34,64428.0,1953593.25
35,63323.520000000004,1944458.28
36,63999.0,1930369.8375
37,64480.0,1873764.0
38,64248.08,1853310.0
39,64215.840000000004,1844167.7820000001
40,63758.03200000001,1822744.0456
41,64212.72,1789497.369
