,price,amount
0,58400.159999999996,7143191.237
1,57792.0,5856677.4
2,57936.0,5049363.800000001
3,59520.0,4984366.0
4,59040.0,3722902.5
5,59260.799999999996,3698985.0599999996
6,59212.799999999996,3698764.56
7,58854.623999999996,3601167.3060000003
8,57792.0,3582201.0
9,58675.2,3580654.08
10,57888.0,3544976.7
11,59116.799999999996,3478900.52
12,58918.655999999995,3195416.4839999997
13,59040.0,3085270.5
14,59040.0,3071740.5
15,58944.0,2772578.4
16,58944.0,2695091.6
17,58944.0,2620490.6
18,58944.0,2511812.6
19,58560.0,2509906.0
20,57792.0,2497276.5999999996
21,58521.6,2468819.04
22,59075.52,2396250.78
23,59040.0,2293027.5
24,58521.6,2266309.92
25,59071.295999999995,2234064.1082
26,59237.664,2129840.8444
27,59232.0,2100021.2
28,59185.53599999999,2097880.6448
29,59015.231999999996,2035779.6072
30,58962.816,2033787.2148
31,59299.2,2018520.0599999998
32,59582.208,1976825.9448
33,59151.36,1940965.6160000002
34,59289.6,1908939.8399999999
35,59260.799999999996,1908444.68
36,58856.736,1894512.4991
37,59040.0,1892232.0
38,59040.0,1874827.5
39,59063.808,1845928.5744
40,58308.0,1826558.8375000001
41,58944.0,1804975.7999999998
42,59013.119999999995,1776725.216
