,price,amount
0,62115.0,17163604.5
1,62519.0,11876072.1
2,62394.770000000004,7802929.316000001
3,61347.4,5313110.02
4,62156.208000000006,5209428.720000001
5,61975.418000000005,5100392.816000001
6,62317.0,5040828.3
7,62107.021,4883948.5504
8,61474.458000000006,4573273.6146
9,61913.0,4490838.0
10,61054.5,4449966.3
11,60752.51,4438121.233
12,62064.5,4421081.7
13,61913.0,4220872.8
14,62218.323000000004,3324922.5402
15,61437.996999999996,3236565.8479
16,62317.0,3108754.5
17,62212.263000000006,2993518.5837
18,62712.415,2742954.1040000003
19,61054.5,2663850.15
20,62286.7,2646321.37
21,62120.757,2588651.9016
22,61736.25,2345427.375
23,62020.767,2324919.0686999997
24,60752.51,2295362.1599999997
25,60752.51,2264865.603
26,61812.0,2231780.4
27,62630.1,2171962.2600000002
28,61610.0,2116639.0
29,61913.0,2084445.2
30,61408.0,2078022.4
31,61064.398,2060409.5242
32,60852.5,2044764.5000000002
33,61610.0,2006595.0000000002
34,62569.5,1953593.25
35,61496.88,1944458.28
36,62152.875,1930369.8375
37,62620.0,1873764.0
38,62394.770000000004,1853310.0
39,62363.46,1844167.7820000001
40,61918.858,1822744.0456
41,62360.43,1789497.369
