,price,amount
0,60225.165,7143191.237
1,59598.0,5856677.4
2,59746.5,5049363.800000001
3,61380.0,4984366.0
4,60885.0,3722902.5
5,61112.7,3698985.0599999996
6,61063.2,3698764.56
7,60693.831,3601167.3060000003
8,59598.0,3582201.0
9,60508.8,3580654.08
10,59697.0,3544976.7
11,60964.2,3478900.52
12,60759.864,3195416.4839999997
13,60885.0,3085270.5
14,60885.0,3071740.5
15,60786.0,2772578.4
16,60786.0,2695091.6
17,60786.0,2620490.6
18,60786.0,2511812.6
19,60390.0,2509906.0
20,59598.0,2497276.5999999996
21,60350.4,2468819.04
22,60921.63,2396250.78
23,60885.0,2293027.5
24,60350.4,2266309.92
25,60917.274,2234064.1082
26,61088.841,2129840.8444
27,61083.0,2100021.2
28,61035.083999999995,2097880.6448
29,60859.458,2035779.6072
30,60805.403999999995,2033787.2148
31,61152.3,2018520.0599999998
32,61444.152,1976825.9448
33,60999.84,1940965.6160000002
34,61142.4,1908939.8399999999
35,61112.7,1908444.68
36,60696.009,1894512.4991
37,60885.0,1892232.0
38,60885.0,1874827.5
39,60909.552,1845928.5744
40,60130.125,1826558.8375000001
41,60786.0,1804975.7999999998
42,60857.28,1776725.216
