,price,amount
0,67650.0,17163604.5
1,68090.0,11876072.1
2,67954.70000000001,7802929.316000001
3,66814.0,5313110.02
4,67694.88,5209428.720000001
5,67497.98000000001,5100392.816000001
6,67870.0,5040828.3
7,67641.31,4883948.5504
8,66952.38,4573273.6146
9,67430.0,4490838.0
10,66495.0,4449966.3
11,66166.1,4438121.233
12,67595.0,4421081.7
13,67430.0,4220872.8
14,67762.53000000001,3324922.5402
15,66912.67,3236565.8479
16,67870.0,3108754.5
17,67755.93000000001,2993518.5837
18,68300.65000000001,2742954.1040000003
19,66495.0,2663850.15
20,67837.0,2646321.37
21,67656.27,2588651.9016
22,67237.5,2345427.375
23,67547.37,2324919.0686999997
24,66166.1,2295362.1599999997
25,66166.1,2264865.603
26,67320.0,2231780.4
27,68211.0,2171962.2600000002
28,67100.0,2116639.0
29,67430.0,2084445.2
30,66880.0,2078022.4
31,66505.78000000001,2060409.5242
32,66275.0,2044764.5000000002
33,67100.0,2006595.0000000002
34,68145.0,1953593.25
35,66976.8,1944458.28
36,67691.25,1930369.8375
37,68200.0,1873764.0
38,67954.70000000001,1853310.0
39,67920.6,1844167.7820000001
40,67436.38,1822744.0456
41,67917.3,1789497.369
